json_id,influencer_name,sponsored,brand,gender_bias_score,matched_hashtag,hashtags_count
1607614816264374794,unknown,0,Target,5.22,target,14
1608922040857026010,unknown,1,Target,5.23,targetstyle,16
1609017269643727505,unknown,0,Target,5.22,target,6
1609720189040889279,unknown,0,Target,5.23,targetstyle,10
1610349589806107234,unknown,0,Target,5.23,targetstyle,4
1611882395223720683,unknown,0,Target,5.22,target,27
1611948425580913841,unknown,0,Target,5.23,target,20
1612013988525542193,unknown,0,Target,5.22,targetstyle,5
1612042855705229702,unknown,0,Target,5.22,targetstyle,17
1612650109060223056,unknown,0,Target,5.23,target,9
1612841019803929589,unknown,0,Target,5.22,targetstyle,23
1613202977098862460,unknown,0,Target,5.23,targetstyle,5
1613295582776723069,unknown,0,Target,5.23,target,16
1613334460919618859,unknown,0,Target,5.23,target,5
1613338531734801618,unknown,0,Target,5.23,target,29
1613339985457348392,unknown,0,Target,5.23,targetstyle,30
1614031704209337913,unknown,0,Target,5.22,targetstyle,20
1614126900991746367,unknown,0,Target,5.22,targetstyle,16
1614151162079045080,unknown,0,Target,5.23,target,25
1614186857770391191,unknown,1,Target,5.22,target,30
1614212819028100752,unknown,0,Target,5.23,targetstyle,11
1614520458559285288,unknown,0,Target,5.23,target,29
1614687767375533636,unknown,1,Target,5.23,target,27
1614764131357139876,unknown,0,Target,5.22,targetstyle,7
1614913563083017920,unknown,0,Target,5.23,targetstyle,11
1615318011463194024,unknown,0,Target,5.22,targetstyle,12
1615460666722214247,unknown,0,Target,5.23,targetstyle,5
1615495919325930864,unknown,1,Target,5.23,targetstyle,3
1616318196042616991,unknown,0,Target,5.23,targetstyle,28
1616359148906461725,unknown,0,Target,5.23,targetstyle,30
1616446246029287110,beautybyjulia,0,Target,5.23,targetstyle,12
1616841254339090114,unknown,0,Target,5.22,targetstyle,6
1617071403131404787,unknown,0,Target,5.23,targetstyle,8
1617103794785299892,unknown,0,Target,5.23,targetstyle,15
1617565257663590843,unknown,1,Target,5.22,target,18
1617570640323053235,unknown,0,Target,5.22,targetstyle,11
1617635649014365017,unknown,1,Target,5.22,targetstyle,19
1618307686314815372,unknown,0,Target,5.22,targetstyle,30
1618350543898218775,unknown,0,Target,5.23,targetstyle,30
1618408362536473245,unknown,0,Target,5.23,targetstyle,2
1618466424899943884,unknown,0,Target,5.22,target,19
1618568852647381571,lydioutloud,0,Target,5.22,targetstyle,30
1618897195405195364,unknown,0,Target,5.22,target,8
1619136345828022188,unknown,0,Target,5.23,targetstyle,3
1619272100467253782,unknown,0,Target,5.23,target,15
1619326051548409726,unknown,1,Target,5.22,target,19
1619885600727338088,unknown,0,Target,5.22,targetstyle,24
1619951748103924177,unknown,0,Target,5.23,targetstyle,19
1620661540910174226,kasuallykatie,0,Target,5.23,targetstyle,22
1621388592855176332,unknown,0,Target,5.22,target,29
1621775873579694487,unknown,0,Target,5.23,targetstyle,16
1621913639186816603,unknown,1,Target,5.22,target,19
1621987252911983904,unknown,0,Target,5.22,targetstyle,11
1622130966411022020,unknown,0,Target,5.22,targetstyle,8
1622738827293990645,unknown,0,Target,5.22,target,8
1623300939066580892,unknown,0,Target,5.22,target,7
1623360592142620144,unknown,0,Target,5.22,target,30
1623634015960796525,unknown,0,Target,5.22,target,6
1624154109714487258,unknown,0,Target,5.22,targetstyle,23
1624157173873271082,unknown,1,Target,5.23,target,17
1624284669280205326,unknown,0,Target,5.22,targetstyle,19
1624888455842381002,unknown,0,Target,5.23,targetstyle,27
1625406393950766771,unknown,0,Target,5.22,targetstyle,27
1625412065369998458,unknown,0,Target,5.22,target,28
1625459300775202707,unknown,0,Target,5.23,targetstyle,15
1625786700328110629,alittlesliceofem,0,Target,5.22,target,25
1626213512987844484,unknown,0,Target,5.23,target,8
1626555262863464355,unknown,1,Target,5.22,targetstyle,22
1627011493163750793,unknown,0,Target,5.23,targetstyle,4
1627023608328342560,unknown,0,Target,5.22,targetstyle,28
1627139631065394409,unknown,0,Target,5.22,targetstyle,18
1627616051168009962,unknown,1,Target,5.22,targetstyle,27
1627617272574311142,unknown,1,Target,5.22,targetstyle,8
1627670925111737435,unknown,0,Target,5.23,targetstyle,10
1627890059855630317,unknown,1,Target,5.23,targetstyle,29
1628404843210407457,unknown,0,Target,5.23,targetstyle,24
1628544458663348361,unknown,0,Target,5.23,target,7
1629054265064523673,unknown,0,Target,5.22,target,7
1629125472805486985,unknown,1,Target,5.22,target,21
1630839483799145003,unknown,0,Target,5.23,targetstyle,4
1631278865539657422,unknown,0,Target,5.23,target,9
1631971088957184467,unknown,0,Target,5.23,targetstyle,25
1632121688404464690,unknown,0,Target,5.23,targetstyle,5
1632266315959645286,unknown,0,Target,5.22,target,12
1634202012815387579,unknown,0,Target,5.22,targetstyle,30
1634257252846345949,unknown,0,Target,5.23,targetstyle,30
1634309514118563986,unknown,0,Target,5.22,targetstyle,23
1634490951463327329,unknown,0,Target,5.22,targetstyle,6
1634825774069876694,raisingkarma,0,Target,5.23,targetstyle,30
1634986221061108468,unknown,0,Target,5.23,targetstyle,3
1635078964296797476,unknown,0,Target,5.22,target,15
1635135976497840708,unknown,0,Target,5.23,targetstyle,29
1635148447529164090,unknown,0,Target,5.23,targetstyle,29
1635577510275403458,unknown,0,Target,5.23,targetstyle,13
1635679833895563200,unknown,0,Target,5.23,targetstyle,5
1635838711472004264,unknown,0,Target,5.23,target,19
1635838750084243222,unknown,0,Target,5.23,targetstyle,9
1636163948431995822,unknown,0,Target,5.23,targetstyle,28
1636517742319747822,unknown,0,Target,5.22,target,30
1636667829195821277,unknown,0,Target,5.23,targetstyle,8
1636683651024827506,unknown,0,Target,5.23,targetstyle,20
1637116885852179155,kiaan.explores,0,Target,5.22,targetstyle,7
1637257032138303069,unknown,1,Target,5.23,target,27
1637305101957025181,unknown,0,Target,5.23,target,6
1637379879493644967,unknown,1,Target,5.23,targetstyle,8
1637467643442083797,unknown,0,Target,5.23,targetstyle,28
1637764958634797977,unknown,0,Target,5.22,targetstyle,7
1637784703304297887,unknown,0,Target,5.22,targetstyle,27
1637787553469267747,unknown,0,Target,5.23,targetstyle,6
1638665420641975235,unknown,0,Target,5.23,targetstyle,4
1638875329711226561,unknown,0,Target,5.22,targetstyle,30
1639270100128502159,unknown,0,Target,5.23,targetstyle,10
1639314394653414767,unknown,0,Target,5.23,target,2
1639360759261845176,unknown,0,Target,5.22,targetstyle,11
1639555032837985292,unknown,0,Target,5.23,target,22
1640107049759211879,unknown,0,Target,5.22,targetstyle,3
1640220563312036203,unknown,0,Target,5.22,targetstyle,24
1640796040881733723,unknown,0,Target,5.22,target,18
1641084449494754137,unknown,0,Target,5.22,target,24
1641421147407778676,unknown,0,Target,5.23,target,7
1641484683547271890,unknown,0,Target,5.22,targetstyle,8
1641579202975988382,unknown,0,Target,5.22,targetstyle,20
1642246278321919284,unknown,0,Target,5.22,targetstyle,7
1642370508749989687,unknown,0,Target,5.22,target,28
1642537888808677144,unknown,0,Target,5.23,target,6
1642993109088194877,unknown,0,Target,5.22,target,7
1643053562227631197,unknown,0,Target,5.22,target,26
1643755661925096807,unknown,0,Target,5.22,target,7
1643779432455272490,unknown,0,Target,5.22,targetstyle,3
1643978750219448689,unknown,0,Target,5.22,targetstyle,9
1644440933963837407,unknown,0,Target,5.22,target,16
1644476536239207520,unknown,1,Target,5.22,targetstyle,13
1644705093730633463,unknown,1,Target,5.23,targetstyle,3
1644991522715943125,unknown,0,Target,5.23,target,6
1645232032120132850,unknown,1,Target,5.22,target,15
1645272843090604045,unknown,1,Target,5.22,target,16
1646574033842969713,unknown,0,Target,5.23,targetstyle,7
1646590194058564274,unknown,0,Target,5.22,target,3
1646609068202046275,unknown,0,Target,5.23,targetstyle,32
1646621573593853001,unknown,0,Target,5.22,target,5
1646623520756606951,unknown,0,Target,5.23,target,11
1646719742772014892,diyinspiredhouse,0,Target,5.23,target,18
1646725722457030945,unknown,0,Target,5.22,target,12
1647153849879887542,unknown,0,Target,5.22,targetstyle,30
1647495819934167381,unknown,0,Target,5.22,targetstyle,12
1647655647342755372,unknown,1,Target,5.23,targetstyle,6
1647936613742806555,unknown,0,Target,5.22,targetstyle,7
1648704086190417019,unknown,0,Target,5.23,targetstyle,2
1648980558358895818,unknown,0,Target,5.23,target,25
1649020529138237473,unknown,0,Target,5.22,targetstyle,28
1649541069183708968,unknown,0,Target,5.22,targetstyle,2
1650086715544497915,unknown,0,Target,5.22,targetstyle,16
1650100910594374542,unknown,0,Target,5.22,targetstyle,27
1650422942704559335,unknown,0,Target,5.22,target,28
1650908300978829151,unknown,0,Target,5.22,target,23
1651685393236448336,unknown,0,Target,5.23,target,12
1651776086226593457,unknown,0,Target,5.23,target,21
1651872146903705047,unknown,0,Target,5.22,targetstyle,15
1652603546019654089,unknown,1,Target,5.22,target,8
1652639969438869658,unknown,0,Target,5.23,targetstyle,20
1652663304021483012,unknown,0,Target,5.22,target,3
1652966405793998119,unknown,0,Target,5.22,targetstyle,28
1653026443481194095,unknown,0,Target,5.22,targetstyle,30
1653072732123576519,unknown,1,Target,5.22,target,29
1653074719845363053,unknown,1,Target,5.23,target,6
1653158762482242596,unknown,0,Target,5.22,target,26
1653260354630954886,unknown,1,Target,5.22,target,27
